geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
8656218,A Rom,A Rom,A Rom,16.29372,107.36219,P,PPL,VN,,66,481,,,0,,71,Asia/Bangkok,2023-06-26
8668698,A Rooi,A Rooi,,15.76483,107.29403,P,PPL,VN,,84,504,,,0,,1092,Asia/Ho_Chi_Minh,2023-06-26
8656221,A Rú,A Ru,"A Ru,A Rú",16.15942,107.51202,P,PPL,VN,,66,481,,,0,,115,Asia/Bangkok,2023-06-26
1591634,A San,A San,,15.9,107.66667,P,PPL,VN,,84,505,,,0,,497,Asia/Ho_Chi_Minh,2023-06-26
1591635,A San Young,A San Young,,15.88333,107.68333,P,PPL,VN,,84,505,,,0,,755,Asia/Ho_Chi_Minh,2023-06-26
1591633,A Sáp,A Sap,,16.11667,107.33333,P,PPL,VN,,66,481,,,0,,594,Asia/Bangkok,2023-06-26
1591632,A Sầu,A Sau,"A Sau,A Shau,A Sầu",16.1,107.36667,P,PPL,VN,,66,481,,,0,,646,Asia/Bangkok,2023-06-26
11962238,A Shau,A Shau,,16.12061,107.33084,S,AIRQ,VN,,66,481,,,0,,593,Asia/Bangkok,2023-06-26
11962239,A Shau SF Camp,A Shau SF Camp,,16.121,107.32826,S,RUIN,VN,,66,481,,,0,,595,Asia/Bangkok,2023-06-26
1591630,A So,A So,,15.91667,107.65,P,PPL,VN,,84,505,,,0,,501,Asia/Ho_Chi_Minh,2023-06-26
1591628,A Sơ Ră Amo,A So Ra Amo,"A So Ra Amo,A So Ro Amo,A Sơ Rô Amơ,A Sơ Ră Amo",15.85,107.68333,P,PPL,VN,,84,505,,,0,,631,Asia/Ho_Chi_Minh,2023-06-26
1591627,A Sơ Ra Kadao,A So Ra Kadao,,15.83333,107.65,P,PPL,VN,,84,505,,,0,,417,Asia/Ho_Chi_Minh,2023-06-26
1591626,A Sơ Ră Katoi,A So Ra Katoi,,15.83333,107.66667,P,PPL,VN,,84,505,,,0,,532,Asia/Ho_Chi_Minh,2023-06-26
1591625,A Sơ Young,A So Young,,15.85,107.66667,P,PPL,VN,,84,505,,,0,,487,Asia/Ho_Chi_Minh,2023-06-26
1591619,A Teo,A Teo,,15.98333,107.61667,P,PPL,VN,,84,504,,,0,,1079,Asia/Ho_Chi_Minh,2023-06-26
1591618,A Tép,A Tep,"A Tep,A Tép",15.97342,107.50843,P,PPL,VN,,84,504,,,0,,628,Asia/Ho_Chi_Minh,2023-06-26
1591617,A Tin,A Tin,,15.96667,107.68333,P,PPL,VN,,84,505,,,0,,866,Asia/Ho_Chi_Minh,2023-06-26
1591615,A Tin Trên,A Tin Tren,"A Tin Tren,A Tin Trên",15.98266,107.65471,P,PPL,VN,,84,505,,,0,,864,Asia/Ho_Chi_Minh,2023-06-26
1591614,A Tin Young,A Tin Young,,15.96667,107.66667,P,PPL,VN,,84,505,,,0,,749,Asia/Ho_Chi_Minh,2023-06-26
8656211,A Treng,A Treng,A Treng,16.33975,107.17497,P,PPL,VN,,66,481,,,0,,833,Asia/Bangkok,2023-06-26
8725167,A Tui,A Tui,A Tui,12.71715,108.56265,P,PPL,VN,,88,651,,,0,,460,Asia/Ho_Chi_Minh,2023-06-26
1591608,A Tul,A Tul,,15.95,107.63333,P,PPL,VN,,84,505,,,0,,602,Asia/Ho_Chi_Minh,2023-06-26
1591604,A Xiêm,A Xiem,,16.11667,107.78333,P,PPL,VN,,66,483,,,0,,283,Asia/Bangkok,2023-06-26
8650906,A Xơi,A Xoi,"A Xoi,A Xơi",16.38388,106.95823,P,PPL,VN,,64,467,,,0,,329,Asia/Ho_Chi_Minh,2023-06-26
1591602,A Yin,A Yin,,15.91667,107.63333,P,PPL,VN,,84,505,,,0,,552,Asia/Ho_Chi_Minh,2023-06-26
1591601,A Yong,A Yong,,22.46667,104.11667,P,PPL,VN,,90,086,,,0,,192,Asia/Bangkok,2023-06-26
1591600,A Yuân,A Yuan,"A Yuan,A Yuon,A Yuân",15.96667,107.63333,P,PPL,VN,,84,505,,,0,,799,Asia/Ho_Chi_Minh,2023-06-26
8701253,A Yun Pa,A Yun Pa,A Yun Pa,13.40025,108.43503,P,PPLA2,VN,,49,624,,,0,,165,Asia/Ho_Chi_Minh,2023-06-26
10273435,A and Em 8A Thai Van Lung Hotel,A and Em 8A Thai Van Lung Hotel,,10.77923,106.70473,S,HTL,VN,,20,760,,,0,,14,Asia/Ho_Chi_Minh,2023-06-26
10273454,A and Em Hai Ba Trung,A and Em Hai Ba Trung,,10.77717,106.70447,S,HTL,VN,,20,760,,,0,,16,Asia/Ho_Chi_Minh,2023-06-26
10273464,A and Em Le Prince Hotel,A and Em Le Prince Hotel,,10.77367,106.69665,S,HTL,VN,,20,760,,,0,,15,Asia/Ho_Chi_Minh,2023-06-26
10273445,A and Em Phan Boi Chau,A and Em Phan Boi Chau,,10.7732,106.69834,S,HTL,VN,,20,760,,,0,,6,Asia/Ho_Chi_Minh,2023-06-26
8668702,ARé,ARe,"ARe,ARé",15.81182,107.4623,P,PPL,VN,,84,504,,,0,,623,Asia/Ho_Chi_Minh,2023-06-26
10246668,AandEm Corp Royal Palace Hotel,AandEm Corp Royal Palace Hotel,,10.77425,106.69685,S,HTL,VN,,20,760,,,0,,18,Asia/Ho_Chi_Minh,2023-06-26
